Date,SW_chl_nn,SW_chl_oc4me,MST_chl_nn,MST_chl_oc4me,PK_chl_nn,PK_chl_oc4me
2019-08-27,,,,,,
2019-08-28,,,,,,
2019-08-29,,,10.18296,,0.2710634,
2019-08-30,,,,,0.19558637,0.5020967
2019-08-31,,,,,,
2019-09-01,4.7551622,,3.4310975,,0.028621534,
2019-09-02,,,,,,
2019-09-03,,,,,,
2019-09-04,0.86498356,,,,,
2019-09-05,5.1128306,17.542622,11.353195,,,
2019-09-06,,,,,,
2019-09-07,,,5.4974017,,0.16917899,2.2205303
2019-09-08,0.93004495,5.3016305,2.7602274,,0.21029776,
2019-09-09,,,,,,
2019-09-10,,,,,,
2019-09-11,,,0.33694503,,,
2019-09-12,,,,,,
2019-09-13,,,0.6958565,,0.16315426,0.43430543
2019-09-14,,,,,,
2019-09-15,,,,,,
